coordinator_1  | 2024-02-27 10:25:24,108.108 WARNING:   Worker: 2 | Completed snapshot: 20 | started at: 1709029524086.0625 | ended at: 1709029524106.3835 | took: 20.321044921875ms
coordinator_1  | 2024-02-27 10:25:24,109.109 WARNING:   Worker: 1 | Completed snapshot: 20 | started at: 1709029524085.9673 | ended at: 1709029524106.2507 | took: 20.283447265625ms
coordinator_1  | 2024-02-27 10:25:24,109.109 WARNING:   Worker: 3 | Completed snapshot: 20 | started at: 1709029524086.1194 | ended at: 1709029524106.2488 | took: 20.12939453125ms
coordinator_1  | 2024-02-27 10:25:25,116.116 WARNING:   Worker: 1 | Completed snapshot: 21 | started at: 1709029525092.372 | ended at: 1709029525114.3223 | took: 21.9501953125ms
coordinator_1  | 2024-02-27 10:25:25,117.117 WARNING:   Worker: 2 | Completed snapshot: 21 | started at: 1709029525092.4346 | ended at: 1709029525115.3477 | took: 22.9130859375ms
coordinator_1  | 2024-02-27 10:25:25,117.117 WARNING:   Worker: 3 | Completed snapshot: 21 | started at: 1709029525092.609 | ended at: 1709029525115.4868 | took: 22.8779296875ms
coordinator_1  | 2024-02-27 10:25:25,118.118 WARNING:   Worker: 4 | Completed snapshot: 21 | started at: 1709029525092.4375 | ended at: 1709029525115.3567 | took: 22.919189453125ms
coordinator_1  | 2024-02-27 10:25:26,109.109 WARNING:   Worker: 2 | Completed snapshot: 22 | started at: 1709029526092.615 | ended at: 1709029526107.932 | took: 15.31689453125ms
coordinator_1  | 2024-02-27 10:25:26,109.109 WARNING:   Worker: 4 | Completed snapshot: 22 | started at: 1709029526092.671 | ended at: 1709029526108.341 | took: 15.670166015625ms
coordinator_1  | 2024-02-27 10:25:26,110.110 WARNING:   Worker: 1 | Completed snapshot: 22 | started at: 1709029526092.6345 | ended at: 1709029526108.4358 | took: 15.80126953125ms
coordinator_1  | 2024-02-27 10:25:26,110.110 WARNING:   Worker: 3 | Completed snapshot: 22 | started at: 1709029526092.622 | ended at: 1709029526108.7087 | took: 16.086669921875ms
coordinator_1  | 2024-02-27 10:25:27,116.116 WARNING:   Worker: 3 | Completed snapshot: 23 | started at: 1709029527092.9646 | ended at: 1709029527114.985 | took: 22.0205078125ms
coordinator_1  | 2024-02-27 10:25:27,117.117 WARNING:   Worker: 1 | Completed snapshot: 23 | started at: 1709029527092.9646 | ended at: 1709029527115.045 | took: 22.080322265625ms
coordinator_1  | 2024-02-27 10:25:27,117.117 WARNING:   Worker: 2 | Completed snapshot: 23 | started at: 1709029527092.8745 | ended at: 1709029527115.3774 | took: 22.5029296875ms
coordinator_1  | 2024-02-27 10:25:27,118.118 WARNING:   Worker: 4 | Completed snapshot: 23 | started at: 1709029527092.959 | ended at: 1709029527115.5042 | took: 22.545166015625ms
coordinator_1  | 2024-02-27 10:25:28,119.119 WARNING:   Worker: 2 | Completed snapshot: 24 | started at: 1709029528099.3271 | ended at: 1709029528118.3298 | took: 19.002685546875ms
coordinator_1  | 2024-02-27 10:25:28,120.120 WARNING:   Worker: 1 | Completed snapshot: 24 | started at: 1709029528099.239 | ended at: 1709029528118.0598 | took: 18.82080078125ms
coordinator_1  | 2024-02-27 10:25:28,120.120 WARNING:   Worker: 4 | Completed snapshot: 24 | started at: 1709029528099.239 | ended at: 1709029528118.1235 | took: 18.884521484375ms
coordinator_1  | 2024-02-27 10:25:28,120.120 WARNING:   Worker: 3 | Completed snapshot: 24 | started at: 1709029528099.4211 | ended at: 1709029528118.313 | took: 18.891845703125ms
coordinator_1  | 2024-02-27 10:25:29,123.123 WARNING:   Worker: 2 | Completed snapshot: 25 | started at: 1709029529103.3533 | ended at: 1709029529122.2458 | took: 18.892578125ms
